"Label","Task","annotation_id","annotator","created_at","id","lead_time","sentiment","updated_at"
"B-Date,O,O,O,B-Task,O,B-Task,I-Task,O,B-Task,I-Task","tomorrow i have to send the document for the aug lunch",4,"1","2025-04-12T09:20:32.234434Z",19,18.043,"Work","2025-04-12T09:20:32.234434Z"
"B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date,O,B-Time,I-Time","wrap up Gal's medical prescriptions on june 21st at 1:15 a.m..",5,"1","2025-04-12T09:20:46.218374Z",20,13.638,"Health","2025-04-12T09:20:46.218374Z"
"B-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date","design Daniel's party gift before march 11th",6,"1","2025-04-12T09:21:07.912242Z",21,8.014,"Personal","2025-04-12T09:21:07.912242Z"
"B-Task,I-Task,O,B-Task,I-Task,I-Task,O,O,O,O,B-Date,I-Date,O,B-Time","look into the monthly expense summary by the deadline on march 12th at 8:45",7,"1","2025-04-12T09:21:20.945402Z",22,12.7,"Work","2025-04-12T09:21:20.945402Z"
"B-Task,O,B-Task,I-Task,O,B-Date,I-Date,O,B-Time","update a doctor appointment on feb 16th around noon",8,"1","2025-04-12T09:21:27.522850Z",23,6.209,"Health","2025-04-12T09:21:27.522850Z"
"B-Task,I-Task,I-Task,O,B-Task,O,O,B-Time,O,B-Date,I-Date","prepare summary for the parade scheduled at noon on november 26th",9,"1","2025-04-12T09:21:35.200952Z",24,7.372,"Personal","2025-04-12T09:21:35.200952Z"
"B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,O,B-Date,I-Date,I-Date","finish reading chapter ten of trade show book until the 26th of september",10,"1","2025-04-12T09:21:40.720994Z",25,5.203,"School","2025-04-12T09:21:40.720994Z"
"O,O,O,B-Task,O,B-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time","remind me to complete the team meeting report before Tuesday at 7:45 p.m.",11,"1","2025-04-12T09:21:45.510659Z",26,4.476,"Work","2025-04-12T09:21:45.510659Z"
"O,O,B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,O,B-Date,B-Time","Remember to check with Dana about the training session scheduled for Thursday noon",12,"1","2025-04-12T09:21:55.565214Z",27,9.746,"Work","2025-04-12T09:21:55.565214Z"
"B-Task,I-Task,O,B-Task,I-Task,I-Task,O,O,O,O,B-Date,I-Date,O,B-Time","follow up the monthly expense summary by the deadline on feb 20th at 1:10",13,"1","2025-04-12T09:22:00.803843Z",28,4.915,"Work","2025-04-12T09:22:00.803843Z"
"B-Task,I-Task,I-Task,B-Date,O,B-Time,I-Time","share observance tickets tomorrow at 6:10 AM.",14,"1","2025-04-12T09:22:04.833082Z",29,3.587,"Personal","2025-04-12T09:22:04.833082Z"
"O,O,O,B-Task,I-Task,I-Task,O,O,O,O,O,B-Date","i need to coordinate chapter 6 of the biology textbook by Wednesday.",15,"1","2025-04-12T09:22:09.581020Z",30,4.394,"School","2025-04-12T09:22:09.581020Z"
"B-Task,I-Task,O,O,B-Task,O,O,B-Date,I-Date,I-Date","complete Jennifer for his graduation which is tomorrow next week",16,"1","2025-04-12T09:22:25.943709Z",31,16.049,"Personal","2025-04-12T09:22:25.943709Z"
"B-Task,I-Task,I-Task,O,B-Task,O,O,B-Time,O,B-Date,I-Date","manage mockup for the wedding scheduled at noon on february 29th",17,"1","2025-04-12T09:22:45.403124Z",32,19.127,"Personal","2025-04-12T09:22:45.403124Z"
"B-Task,I-Task,O,O,B-Task,O,O,B-Date,I-Date,I-Date,O,B-Time,I-Time","study Tahel on her rally which is on the 26th at 12 PM.",18,"1","2025-04-12T09:22:49.553976Z",33,3.837,"Personal","2025-04-12T09:22:49.553976Z"
"O,O,O,B-Task,I-Task,I-Task,O,B-Date","i need to prioritize a clock by Saturday.",19,"1","2025-04-12T09:22:56.053573Z",34,6.174,"Household","2025-04-12T09:22:56.053573Z"
"O,B-Date,I-Date,O,B-Time,B-Task,O,B-Task,I-Task,I-Task","on jul 19th at 14 coordinate the project board meeting",20,"1","2025-04-12T09:23:05.782805Z",35,9.422,"Work","2025-04-12T09:23:05.782805Z"
"B-Task,I-Task,O,B-Task,I-Task,O,B-Date","finalize for the panel discussion on Thursday",21,"1","2025-04-12T09:23:09.700428Z",36,3.595,"Work","2025-04-12T09:23:09.700428Z"
"B-Task,O,B-Task,I-Task,I-Task,I-Task,B-Date,I-Date","prioritize the new dishes about onboarding next Monday",22,"1","2025-04-12T09:23:24.420792Z",37,14.409,"Work","2025-04-12T09:23:24.420792Z"
"O,O,O,B-Task,O,B-Task,I-Task,I-Task,I-Task,O,B-Time,O,B-Date","i need to confirm the trade show in Ericshire after 3:30 this Saturday",23,"1","2025-04-12T09:23:36.569039Z",38,11.819,"Work","2025-04-12T09:23:36.569039Z"
"O,O,O,B-Task,O,B-Task,I-Task,I-Task,I-Task,O,B-Time,O,B-Date","i need to prepare the team meeting in Laurieville after 6:00 this Tuesday",24,"1","2025-04-12T09:23:39.653164Z",39,2.768,"Work","2025-04-12T09:23:39.653164Z"
