Task,Label
don't forget to complete the movie tickets by today at 1:45,"O,O,O,B-Task,O,B-Task,I-Task,O,B-Date,O,B-Time"
i need to book a code for the tech conference by Friday.,"O,O,O,B-Task,I-Task,I-Task,I-Task,O,B-Task,I-Task,O,B-Date"
go over my dry cleaning in three days,"B-Task,I-Task,O,B-Task,I-Task,B-Date,I-Date,I-Date"
finish for the networking event on Monday,"B-Task,I-Task,O,B-Task,I-Task,O,B-Date"
schedule trip tickets today at 6:25 PM.,"B-Task,I-Task,I-Task,B-Date,O,B-Time,I-Time"
sort out the printer that Noam needs for the memorial happening tomorrow at 8:00p.m.,"B-Task,I-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Task,O,B-Date,O,B-Time"
confirm the new code made by Dana until Friday at 12:15,"B-Task,O,B-Task,I-Task,O,O,O,O,B-Date,O,B-Time"
Remember to book with Mom about the tech conference scheduled for Thursday noon,"O,O,B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,O,B-Date,B-Time"
schedule the new table made by Gal until Friday at 11:20,"B-Task,O,B-Task,I-Task,O,O,O,O,B-Date,O,B-Time"
reserve Dana in 11 days around 23,"B-Task,I-Task,B-Date,I-Date,I-Date,O,B-Time"
on june 17th at 22 mow the project trade show,"O,B-Date,I-Date,O,B-Time,B-Task,O,B-Task,I-Task,I-Task"
study the project report by 10a.m. on Thursday,"B-Task,O,B-Task,I-Task,O,B-Time,O,B-Date"
coordinate Boss's meeting gift before jul 20th,"B-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date"
i need to practice chapter 10 of the biology textbook by Tuesday.,"O,O,O,B-Task,I-Task,I-Task,O,O,O,O,O,B-Date"
drop off the monthly expense summary by the deadline on sep 13th at 12:40,"B-Task,I-Task,O,B-Task,I-Task,I-Task,O,O,O,O,B-Date,I-Date,O,B-Time"
on mar 9th at 9 check the project project timeline,"O,B-Date,I-Date,O,B-Time,B-Task,O,B-Task,I-Task,I-Task"
sort out the monthly expense summary by the deadline on jan 4th at 8:00,"B-Task,I-Task,O,B-Task,I-Task,I-Task,O,O,O,O,B-Date,I-Date,O,B-Time"
call a lawyer to inspect the report by today at 5 am,"B-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time"
confirm a doctor appointment on december 5th around noon,"B-Task,O,B-Task,I-Task,O,B-Date,I-Date,O,B-Time"
I'm having a trip with Gal at the cafe tomorrow at noon,"O,O,O,B-Task,I-Task,I-Task,O,O,O,B-Date,O,B-Time"
reserve a new sales report by tomorrow at noon,"B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,O,B-Time"
make sure to go over the commemoration certification by today at midnight,"O,O,O,B-Task,I-Task,O,B-Task,I-Task,O,B-Date,O,B-Time"
plan a doctor appointment on march 5th around noon,"B-Task,O,B-Task,I-Task,O,B-Date,I-Date,O,B-Time"
finish reading chapter 11 of networking event book until the 11th of jul,"B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,O,B-Date,I-Date,I-Date"
i need to confirm a laptop by Thursday.,"O,O,O,B-Task,I-Task,I-Task,O,B-Date"
analyze John to test the slide by midnight on the 21st,"B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,B-Time,B-Date,I-Date,I-Date"
test Dad about the board meeting by next week,"B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date"
